# Keithley DMM6500 Oscilloscope Data Export
# MM Experiment - 30° Measurement
# Date: 2025-06-05 18:02:57
# Operator: Physics Lab Student
# Channels: CH1 (Blue) - L1 Arm, CH2 (Green) - L2 Arm
# Sample Rate: 1.0 MS/s
# Time Base: 1ms/div
# Voltage Scale: 200mV/div
# Signal Frequency: 1000 Hz
# Temperature: 22.3°C, Humidity: 45%
# L1 Phase: 200.000°
# L2 Phase: 201.950°
# Phase Difference: 1.950°
#
Time(s),CH1_L1_Blue(V),CH2_L2_Green(V)
0.000000,0.021825,0.116079
0.000001,0.379566,-0.228608
0.000002,-0.579264,0.192917
0.000003,0.439540,0.066966
0.000004,0.284248,-0.124259
0.000005,-0.088051,0.504501
0.000006,-0.094089,-0.326776
0.000007,-0.021842,0.460310
0.000008,-0.152517,-0.784161
0.000009,0.372532,0.492326
0.000010,0.381610,0.266389
0.000011,-0.481859,0.086546
0.000012,0.061551,-0.129347
0.000013,0.223054,0.529445
0.000014,0.072391,-0.317490
0.000015,0.007714,-0.083945
0.000016,-0.037508,-0.182472
0.000017,-0.319418,0.673275
0.000018,0.166496,-0.285400
0.000019,0.024653,0.320244
0.000020,-0.132973,-0.133837
0.000021,-0.176162,0.023515
0.000022,0.514055,0.231480
0.000023,0.390231,0.563742
0.000024,-0.530658,0.061249
0.000025,0.242637,0.464747
0.000026,-0.349513,0.139697
0.000027,-0.476688,0.135901
0.000028,0.321794,0.270831
0.000029,-0.504829,0.522986
0.000030,-0.050785,0.021020
0.000031,0.392748,0.016732
0.000032,-0.023708,-0.037889
0.000033,-0.033753,0.827700
0.000034,-0.030130,-0.175121
0.000035,-0.282011,0.135225
0.000036,0.126088,0.276711
0.000037,-0.258346,-0.385611
0.000038,0.202291,0.777686
0.000039,-0.111257,-0.085640
0.000040,-0.225310,-0.069410
0.000041,0.584146,-0.066109
0.000042,0.150245,-0.332005
0.000043,0.221272,0.336518
0.000044,0.273019,0.225104
0.000045,0.261076,-0.065264
0.000046,-0.017421,0.279146
0.000047,0.316107,0.367177
0.000048,0.419927,0.173694
0.000049,0.273409,-0.137805
0.000050,0.223442,0.123892
0.000051,0.311728,0.470141
0.000052,0.013882,-0.077332
0.000053,-0.331697,0.119333
0.000054,0.310026,0.281146
0.000055,-0.395239,-0.227187
0.000056,-0.134039,0.531789
0.000057,0.802980,-0.133389
0.000058,-0.103992,0.349948
0.000059,0.095178,0.311799
0.000060,0.265791,0.077986
0.000061,-0.071782,0.266424
0.000062,-0.311782,0.022820
0.000063,0.196811,-0.025942
0.000064,0.253036,-0.462624
