# Keithley DMM6500 Oscilloscope Data Export
# MM Experiment - 0° Measurement
# Date: 2025-06-05 18:02:56
# Operator: Physics Lab Student
# Channels: CH1 (Blue) - L1 Arm, CH2 (Green) - L2 Arm
# Sample Rate: 1.0 MS/s
# Time Base: 1ms/div
# Voltage Scale: 200mV/div
# Signal Frequency: 1000 Hz
# Temperature: 22.3°C, Humidity: 45%
# L1 Phase: 200.000°
# L2 Phase: 201.500°
# Phase Difference: 1.500°
#
Time(s),CH1_L1_Blue(V),CH2_L2_Green(V)
0.000000,0.266602,-0.226462
0.000001,-0.245529,-0.224761
0.000002,-0.031413,0.165628
0.000003,0.117221,-0.033050
0.000004,0.496943,0.328935
0.000005,0.768871,-0.174862
0.000006,0.484633,-0.505763
0.000007,0.111953,-0.005578
0.000008,-0.076565,0.025363
0.000009,-0.073934,-0.138757
0.000010,-0.113960,0.160000
0.000011,0.373628,-0.004195
0.000012,-0.125247,0.271383
0.000013,-0.169455,-0.558407
0.000014,0.052541,-0.007346
0.000015,0.222652,0.171378
0.000016,0.329596,-0.238421
0.000017,0.079019,0.041284
0.000018,-0.166513,-0.348708
0.000019,-0.245321,0.353705
0.000020,0.261171,-0.173649
0.000021,-0.139642,0.247637
0.000022,0.572853,0.197233
0.000023,0.055352,-0.246887
0.000024,-0.283464,-0.043819
0.000025,-0.333609,-0.087848
0.000026,-0.334263,-0.189268
0.000027,-0.125259,0.212505
0.000028,0.111409,-0.283499
0.000029,-0.216560,0.163790
0.000030,-0.226588,-0.294334
0.000031,-0.429448,-0.094382
0.000032,0.212758,0.455062
0.000033,0.082459,0.109638
0.000034,0.375385,0.313331
0.000035,0.022562,0.242988
0.000036,-0.228577,0.054690
0.000037,-0.223798,0.259574
0.000038,0.721308,-0.049725
0.000039,-0.324925,0.313370
0.000040,-0.117893,-0.001958
0.000041,0.026800,0.451871
0.000042,0.181271,0.254706
0.000043,0.035248,0.257302
0.000044,0.387044,-0.305804
0.000045,-0.314313,-0.099958
0.000046,-0.161360,-0.047762
0.000047,0.338608,-0.055447
0.000048,0.243213,0.213074
0.000049,0.287125,-0.213342
0.000050,-0.365936,0.587336
0.000051,-0.059916,0.037711
0.000052,0.204874,0.154011
0.000053,0.030237,-0.202471
0.000054,-0.055656,-0.163828
0.000055,0.538219,0.277109
0.000056,0.132289,0.206031
0.000057,-0.103069,0.795203
0.000058,0.157773,0.509430
0.000059,0.432737,-0.646718
0.000060,0.420346,0.256560
0.000061,-0.213914,-0.182587
0.000062,0.024279,0.319669
0.000063,-0.010937,0.242601
0.000064,0.136697,0.412139
0.000065,0.138633,-0.081283
0.000066,-0.072248,-0.143243
0.000067,0.231630,0.505486
0.000068,-0.109302,0.608598
0.000069,0.550337,0.268532
0.000070,0.388236,0.168544
0.000071,0.572619,-0.341529
0.000072,-0.170789,0.265369
0.000073,0.133897,-0.157360
0.000074,0.124321,0.309122
0.000075,0.024648,0.523763
0.000076,-0.209812,0.352887
0.000077,0.185797,0.655117
0.000078,0.429619,0.060125
0.000079,0.619583,0.303259
0.000080,0.635388,0.497858
0.000081,0.172251,-0.254150
0.000082,0.323415,0.149025
0.000083,0.181869,0.362846
0.000084,-0.279307,-0.530353
0.000085,-0.023259,0.197562
0.000086,0.174955,0.662798
0.000087,0.125436,0.896129
0.000088,0.781770,0.149640
0.000089,0.583717,0.167738
0.000090,0.082668,0.161968
0.000091,0.131015,0.202327
0.000092,-0.371248,0.010853
0.000093,0.298046,0.438838
0.000094,-0.265244,0.369772
0.000095,0.280082,0.101851
0.000096,0.723931,0.361628
0.000097,-0.117612,0.160719
0.000098,-0.202855,0.209238
0.000099,0.133038,0.255599
0.000100,-0.028895,0.422337
0.000101,0.623550,0.856361
0.000102,0.575727,0.094192
0.000103,0.227553,0.702064
0.000104,0.436449,-0.106118
0.000105,-0.412999,0.234522
0.000106,0.844232,0.846369
0.000107,-0.204887,0.060819
0.000108,0.329908,-0.102185
0.000109,0.431558,-0.145822
0.000110,-0.081277,0.051041
0.000111,0.190131,-0.035675
0.000112,0.232455,0.553547
0.000113,0.336947,0.653535
0.000114,0.133093,0.102500
0.000115,0.091731,0.023185
0.000116,-0.129079,0.491763
0.000117,0.230372,0.553333
0.000118,0.083744,0.325869
0.000119,-0.174398,0.406181
0.000120,0.651964,0.021618
0.000121,0.291313,0.264443
0.000122,0.793484,0.323141
0.000123,-0.106323,0.507512
0.000124,0.135116,-0.137710
0.000125,0.490383,0.018673
0.000126,0.293509,0.422392
0.000127,0.080332,0.617697
0.000128,0.072127,0.551191
0.000129,0.627077,0.052617
0.000130,0.084425,0.106233
0.000131,-0.005495,0.192209
0.000132,0.295376,0.049176
0.000133,0.202046,0.345626
0.000134,0.088006,1.036341
0.000135,0.851072,0.046431
0.000136,0.195316,0.749686
0.000137,0.135642,0.746118
0.000138,-0.062462,0.143588
0.000139,0.354580,0.600514
0.000140,-0.507372,0.189867
0.000141,0.942949,-0.050179
0.000142,0.588849,0.653449
0.000143,0.230632,-0.105557
0.000144,0.475272,0.387626
0.000145,0.493945,0.539695
0.000146,0.339950,0.281715
0.000147,0.083528,0.593361
0.000148,0.294473,0.313250
0.000149,0.047008,0.853410
0.000150,0.150447,0.395772
0.000151,0.240335,0.195210
0.000152,1.045361,0.340927
0.000153,0.392902,0.142946
0.000154,0.649568,0.388270
0.000155,0.090846,0.341668
0.000156,0.449611,0.103041
0.000157,0.406850,-0.202661
0.000158,0.643289,0.008302
0.000159,0.283348,0.037623
0.000160,0.241338,-0.007679
0.000161,0.996332,0.444982
0.000162,1.017457,0.199050
0.000163,0.046540,0.697769
0.000164,0.605076,0.255736
0.000165,0.574952,0.297780
0.000166,0.110725,0.491718
0.000167,-0.099456,0.588772
0.000168,0.656101,-0.123015
0.000169,0.361244,-0.016871
0.000170,0.241111,0.091717
0.000171,0.052184,0.588401
0.000172,0.303734,0.377535
0.000173,0.405216,0.237802
0.000174,-0.047634,0.289469
0.000175,0.299242,-0.608329
0.000176,1.001035,-0.114371
0.000177,0.590499,0.687583
0.000178,0.550430,-0.064057
0.000179,0.552485,0.579205
0.000180,0.549965,-0.067351
0.000181,0.392829,0.134127
0.000182,0.743698,0.434092
0.000183,0.393134,0.490146
0.000184,0.996452,0.742855
0.000185,0.395260,0.192111
0.000186,0.365769,0.144721
0.000187,-0.104616,0.539695
0.000188,0.300258,0.558079
0.000189,0.851398,-0.148502
0.000190,0.805708,0.388716
0.000191,0.492501,0.191089
0.000192,0.449364,-0.094907
0.000193,0.041676,0.534877
0.000194,0.383006,0.348884
0.000195,0.332297,0.451984
0.000196,-0.118426,1.096384
0.000197,0.238183,0.226360
0.000198,0.584142,0.449144
0.000199,0.635215,0.483754
0.000200,0.676996,0.511869
0.000201,-0.114320,0.212086
0.000202,0.426832,0.297382
0.000203,0.734133,0.006350
0.000204,-0.174996,0.155028
0.000205,0.290220,0.538151
0.000206,0.194049,0.854182
0.000207,0.316350,0.305630
0.000208,0.607341,0.312392
0.000209,0.683984,0.247848
0.000210,0.962538,0.308883
0.000211,0.366196,-0.038947
0.000212,0.510479,0.739221
0.000213,0.620141,0.115848
0.000214,0.213295,0.557706
0.000215,-0.094528,0.267055
0.000216,0.009266,0.411672
0.000217,0.357945,0.479507
0.000218,0.304960,0.770154
0.000219,0.393472,0.714939
0.000220,0.893891,0.707703
0.000221,0.561978,0.455551
0.000222,0.407630,0.012603
0.000223,0.451654,0.222695
0.000224,0.113894,0.064562
0.000225,0.165619,0.814001
0.000226,0.267369,-0.194911
0.000227,0.157916,0.826828
0.000228,0.185537,0.361076
0.000229,0.554040,0.018217
0.000230,0.666072,-0.174242
0.000231,0.606291,0.486748
0.000232,0.971205,0.788133
0.000233,0.509943,0.686869
0.000234,-0.248400,0.278862
0.000235,0.631851,0.125477
0.000236,0.854854,0.678467
0.000237,0.460015,-0.006370
0.000238,0.250953,0.641481
0.000239,0.766452,0.690112
0.000240,0.253618,0.829477
0.000241,0.246359,0.388853
0.000242,0.606894,-0.066367
0.000243,0.218857,0.475250
0.000244,0.967728,0.343032
0.000245,0.250157,0.630968
0.000246,0.851832,0.272640
0.000247,0.368143,0.341417
0.000248,0.817811,0.409107
0.000249,0.269631,0.087511
0.000250,1.081115,-0.107076
0.000251,0.368207,0.877606
0.000252,0.208955,0.645982
0.000253,0.177058,0.282547
0.000254,0.807432,0.076001
0.000255,0.609176,0.086656
0.000256,0.404185,0.378116
0.000257,0.605318,0.733997
0.000258,0.364028,0.988146
0.000259,0.207993,0.388681
0.000260,0.385161,0.546521
0.000261,0.247210,1.338646
0.000262,0.469486,0.932970
0.000263,0.603813,0.294816
0.000264,0.338962,0.902201
0.000265,1.086844,0.998878
0.000266,0.448470,0.195057
0.000267,-0.096942,0.334760
0.000268,0.446698,0.889789
0.000269,-0.071302,0.239280
0.000270,0.437086,0.630403
0.000271,1.039482,0.287051
0.000272,0.443128,0.485091
0.000273,0.907844,0.434585
0.000274,0.254522,0.534172
0.000275,0.352638,-0.061617
0.000276,0.868004,0.839643
0.000277,-0.092397,0.404170
0.000278,0.466907,0.396462
0.000279,0.420212,1.243164
0.000280,0.421839,0.848518
0.000281,0.798378,0.544269
0.000282,0.666934,0.344949
0.000283,0.827590,0.446067
0.000284,0.068393,0.282406
0.000285,-0.481259,0.344244
0.000286,0.820892,0.532880
0.000287,0.667824,0.223114
0.000288,0.477749,0.134091
0.000289,0.213842,0.289405
0.000290,0.870144,0.576873
0.000291,-0.131816,0.578574
0.000292,0.070538,0.188730
0.000293,0.669331,0.698672
0.000294,0.823511,-0.120719
0.000295,1.226552,0.375182
0.000296,1.089469,0.658223
0.000297,0.131221,-0.015395
0.000298,0.681840,0.844008
0.000299,0.578944,0.025598
0.000300,1.233325,0.215309
0.000301,0.292651,-0.104271
0.000302,0.144868,0.372789
0.000303,0.724707,0.326938
0.000304,0.530626,0.213542
0.000305,0.978440,0.112251
0.000306,-0.066654,0.058436
0.000307,0.182544,0.259312
0.000308,0.381033,-0.091503
0.000309,0.478934,0.760396
0.000310,0.319845,0.417880
