# Keithley DMM6500 Oscilloscope Data Export
# MM Experiment - 180° Measurement
# Date: 2025-06-05 18:02:59
# Operator: Physics Lab Student
# Channels: CH1 (Blue) - L1 Arm, CH2 (Green) - L2 Arm
# Sample Rate: 1.0 MS/s
# Time Base: 1ms/div
# Voltage Scale: 200mV/div
# Signal Frequency: 1000 Hz
# Temperature: 22.3°C, Humidity: 45%
# L1 Phase: 200.000°
# L2 Phase: 204.200°
# Phase Difference: 4.200°
#
Time(s),CH1_L1_Blue(V),CH2_L2_Green(V)
0.000000,-0.325139,0.121097
0.000001,-0.115996,0.232862
0.000002,-0.167327,-0.268854
0.000003,0.127738,-0.024661
0.000004,0.073819,0.066298
0.000005,-0.216699,-0.070161
0.000006,0.286552,0.227643
0.000007,-0.250208,-0.128385
0.000008,0.298672,0.075981
0.000009,-0.064892,-0.031065
0.000010,0.180408,0.208813
0.000011,-0.101622,-0.131210
0.000012,0.379340,0.621929
0.000013,-0.069316,0.006303
0.000014,0.418536,0.128276
0.000015,0.124301,-0.218101
0.000016,-0.086366,-0.280062
0.000017,0.628166,0.510056
0.000018,0.054494,0.317384
0.000019,0.131198,-0.228852
0.000020,-0.480849,0.163940
0.000021,0.204632,-0.337351
0.000022,-0.074015,0.066625
0.000023,-0.077997,0.126534
0.000024,-0.122078,-0.474170
0.000025,0.374492,0.118767
0.000026,-0.142451,0.118301
0.000027,0.263339,0.161928
0.000028,0.264575,-0.223964
0.000029,0.259511,0.158638
0.000030,0.379037,-0.075162
0.000031,0.178543,-0.079849
0.000032,-0.064395,0.418236
0.000033,0.136705,0.564566
0.000034,0.020504,0.084936
0.000035,0.124941,0.561980
0.000036,0.028676,-0.428732
0.000037,0.321463,0.082751
0.000038,0.220340,-0.091732
0.000039,-0.008977,0.068652
0.000040,0.275245,-0.182462
0.000041,0.124736,0.222918
0.000042,-0.080589,-0.300215
0.000043,0.129196,-0.241738
0.000044,-0.015440,0.165848
0.000045,-0.116976,-0.132912
0.000046,0.273193,0.068636
0.000047,-0.014554,0.565706
0.000048,0.580365,0.161287
0.000049,0.192475,0.309999
0.000050,0.444400,0.154703
0.000051,0.185690,0.109788
0.000052,-0.167641,-0.191272
0.000053,0.752505,0.357169
0.000054,0.018848,0.225761
0.000055,0.185372,0.329880
0.000056,0.196129,0.621583
0.000057,0.171364,0.583214
0.000058,0.079495,0.121765
0.000059,0.039508,-0.027340
0.000060,0.220377,0.089372
0.000061,-0.120545,0.119945
0.000062,0.277375,0.175682
0.000063,0.104489,0.126434
0.000064,-0.083757,0.308115
0.000065,-0.003624,0.071407
0.000066,0.172829,0.067924
0.000067,0.596171,0.017855
0.000068,-0.018644,0.009498
0.000069,-0.060130,0.561958
0.000070,0.337298,-0.033318
0.000071,0.229077,0.480813
0.000072,-0.222787,0.281647
0.000073,0.073276,0.174845
0.000074,-0.068465,0.376002
0.000075,-0.258921,-0.383438
0.000076,0.149981,-0.300616
0.000077,-0.024525,-0.232464
0.000078,0.465416,0.256509
0.000079,0.182708,0.508379
0.000080,-0.228681,0.228064
0.000081,-0.167804,-0.217768
0.000082,0.315155,0.618392
0.000083,0.620381,0.117359
0.000084,0.564010,0.050709
0.000085,-0.035606,-0.095301
0.000086,0.167918,0.114724
0.000087,0.356609,0.249753
0.000088,-0.102652,-0.047749
0.000089,0.053239,-0.337542
0.000090,0.813001,0.462575
0.000091,0.162171,0.156492
0.000092,0.713301,0.402605
0.000093,0.202175,0.141594
0.000094,0.065343,0.458257
0.000095,-0.039750,0.489166
0.000096,0.168732,0.004078
0.000097,-0.171602,0.687620
0.000098,-0.337447,0.087477
0.000099,0.222906,-0.101939
0.000100,0.419316,0.831051
0.000101,-0.092179,0.187086
0.000102,0.277358,-0.011952
0.000103,0.262462,0.378433
0.000104,0.422436,0.538414
0.000105,-0.080094,-0.121949
0.000106,-0.133471,0.189265
0.000107,0.322064,0.537108
0.000108,-0.042206,0.407540
0.000109,0.102301,0.097298
0.000110,0.047706,0.546803
0.000111,0.628301,0.425855
0.000112,-0.238715,0.013350
0.000113,0.061973,0.678667
0.000114,0.667712,0.090511
0.000115,0.019353,0.429877
0.000116,-0.152793,-0.098444
0.000117,0.191987,0.189342
0.000118,0.340802,0.006654
0.000119,0.430756,-0.196642
0.000120,0.239199,-0.306798
0.000121,0.586114,0.845246
0.000122,0.125544,-0.007816
0.000123,0.151769,0.635854
0.000124,0.683514,0.202643
0.000125,-0.396348,0.297946
0.000126,0.346560,0.296426
0.000127,0.904211,0.259118
0.000128,-0.252861,-0.192980
0.000129,-0.459100,-0.000508
0.000130,0.153046,-0.239350
0.000131,0.142901,-0.030128
0.000132,0.249371,0.669977
0.000133,0.185043,-0.134805
0.000134,0.246677,0.357320
0.000135,0.544164,0.165289
0.000136,0.896276,0.168027
0.000137,0.734774,-0.129585
0.000138,0.083945,0.217444
0.000139,-0.020400,0.830502
0.000140,0.101196,0.867294
0.000141,0.843324,0.923657
0.000142,0.793374,0.566482
0.000143,-0.091278,-0.039815
0.000144,-0.141362,0.054960
0.000145,0.761552,0.080456
0.000146,-0.153559,0.569938
0.000147,0.504842,0.332897
0.000148,0.246660,0.367239
0.000149,0.598012,0.120956
0.000150,0.857241,-0.014352
0.000151,0.401114,0.024944
0.000152,-0.058552,-0.118888
0.000153,0.012676,0.484715
0.000154,0.300784,0.278082
0.000155,0.198720,0.392922
0.000156,0.347061,-0.170179
0.000157,0.112941,-0.116732
0.000158,-0.136903,0.435295
0.000159,0.552806,0.035190
0.000160,0.112144,0.026910
0.000161,0.072804,0.189775
0.000162,0.448556,0.437904
0.000163,-0.086651,0.195238
0.000164,0.556150,0.193881
0.000165,0.518439,-0.168745
0.000166,0.409639,-0.216624
0.000167,-0.225990,0.334747
0.000168,0.360557,0.243220
0.000169,0.061781,0.638718
0.000170,0.603983,-0.025697
0.000171,0.819569,0.621523
0.000172,0.347459,0.226582
0.000173,0.094142,0.286098
0.000174,0.299174,0.245603
0.000175,1.176200,0.432793
0.000176,-0.145267,1.063009
0.000177,-0.199043,0.529158
0.000178,0.552615,0.082429
0.000179,0.755027,0.479656
0.000180,0.564061,0.326440
0.000181,0.746206,0.456379
0.000182,0.125105,0.560436
0.000183,0.998032,-0.140159
0.000184,0.308011,0.070794
0.000185,0.752720,-0.239009
0.000186,0.461268,1.212770
0.000187,0.199476,0.228707
0.000188,-0.296528,0.510065
0.000189,0.399722,0.527774
0.000190,0.151841,-0.082438
0.000191,0.067460,0.275597
0.000192,-0.083030,0.367269
0.000193,0.577525,0.321491
0.000194,0.416325,-0.241439
0.000195,0.209564,0.860610
0.000196,-0.332656,0.211017
0.000197,-0.240626,0.625005
0.000198,0.306840,0.763671
0.000199,0.266865,-0.127583
0.000200,0.859629,0.332451
0.000201,0.106964,0.568043
0.000202,0.671650,0.425415
0.000203,0.132101,0.675835
0.000204,0.419476,0.350847
0.000205,0.268060,0.502196
0.000206,0.005848,0.620489
0.000207,0.155200,0.905743
0.000208,0.462223,0.830066
0.000209,0.825026,0.364370
0.000210,-0.230482,0.329538
0.000211,0.389220,0.628344
0.000212,0.722624,0.314550
0.000213,0.204441,0.509897
0.000214,-0.141023,1.028159
0.000215,0.551479,0.327477
0.000216,0.210316,0.074680
0.000217,0.718925,0.270722
0.000218,0.619110,-0.143779
0.000219,0.416654,0.157380
0.000220,0.970432,0.810609
0.000221,0.568450,0.394450
0.000222,0.366347,-0.018982
0.000223,0.514583,0.105979
0.000224,0.331674,-0.016889
0.000225,0.466125,0.630565
0.000226,0.127006,0.474326
0.000227,0.177088,0.119813
0.000228,-0.119145,0.836072
0.000229,0.083900,0.303571
0.000230,0.047694,0.483992
0.000231,0.636904,0.444415
0.000232,0.242775,0.132608
0.000233,0.335327,0.639860
0.000234,0.324082,0.943897
0.000235,0.335283,0.054488
0.000236,0.183928,0.245077
0.000237,0.130560,0.343367
0.000238,0.067003,0.214015
0.000239,0.566921,0.255811
0.000240,-0.217203,0.636707
0.000241,0.170296,0.751598
0.000242,0.675118,0.504095
0.000243,0.409843,-0.038715
0.000244,0.324082,0.556358
0.000245,0.320644,0.947284
0.000246,0.271704,0.407862
0.000247,0.320365,-0.093264
0.000248,0.081044,0.157007
0.000249,0.020205,0.994236
0.000250,0.585745,0.635415
0.000251,0.822487,0.306444
0.000252,0.324336,0.460064
0.000253,0.281192,0.600085
0.000254,0.264331,0.467188
0.000255,0.171471,0.775127
0.000256,0.342140,0.157913
0.000257,0.773251,0.217347
0.000258,0.583063,0.414426
0.000259,-0.072498,0.162697
0.000260,0.189136,0.501421
0.000261,1.030599,0.057133
0.000262,0.593236,0.689803
0.000263,0.389705,0.568322
0.000264,0.774186,0.254844
0.000265,0.640574,0.259802
0.000266,0.361843,0.119799
0.000267,1.081184,0.064841
