# Keithley DMM6500 Oscilloscope Data Export
# MM Experiment - 150° Measurement
# Date: 2025-06-05 18:02:59
# Operator: Physics Lab Student
# Channels: CH1 (Blue) - L1 Arm, CH2 (Green) - L2 Arm
# Sample Rate: 1.0 MS/s
# Time Base: 1ms/div
# Voltage Scale: 200mV/div
# Signal Frequency: 1000 Hz
# Temperature: 22.3°C, Humidity: 45%
# L1 Phase: 200.000°
# L2 Phase: 203.750°
# Phase Difference: 3.750°
#
Time(s),CH1_L1_Blue(V),CH2_L2_Green(V)
0.000000,-0.067003,-0.051548
0.000001,0.024395,0.374608
0.000002,0.324234,-0.125840
0.000003,-0.324826,-0.425267
0.000004,-0.470983,-0.323879
0.000005,-0.034197,0.130162
0.000006,0.319669,-0.468606
0.000007,0.112654,0.285370
0.000008,-0.249666,-0.119935
0.000009,0.088360,0.387815
0.000010,-0.034216,-0.020226
0.000011,0.135105,-0.116510
0.000012,0.362180,-0.131313
0.000013,-0.124759,0.278618
0.000014,-0.078785,0.023934
0.000015,-0.079715,0.122824
0.000016,0.083048,0.059765
0.000017,0.584190,-0.246479
0.000018,-0.393134,0.130184
0.000019,0.554217,0.381082
0.000020,0.084511,-0.088122
0.000021,0.187609,0.074441
0.000022,-0.034508,-0.174928
0.000023,0.061011,0.208661
0.000024,-0.158231,0.061070
0.000025,0.212296,0.295922
0.000026,0.626180,0.101873
0.000027,0.086889,0.114449
0.000028,-0.295620,0.503728
0.000029,-0.052172,0.207754
0.000030,-0.263813,0.095112
0.000031,-0.348228,0.106538
0.000032,-0.111615,0.059750
0.000033,-0.056074,0.104916
0.000034,0.191822,0.099655
0.000035,0.195823,0.193524
0.000036,0.037102,0.105602
0.000037,-0.504198,-0.637008
0.000038,-0.012357,0.054434
0.000039,0.298780,-0.043352
0.000040,-0.372075,0.112551
0.000041,-0.305509,0.212945
0.000042,0.296210,-0.339930
0.000043,0.243168,-0.042808
0.000044,0.401231,0.307468
0.000045,-0.493505,0.519251
0.000046,-0.020062,0.213838
0.000047,-0.255378,0.366103
0.000048,0.094070,0.073552
0.000049,-0.068189,-0.044006
0.000050,0.185078,0.801688
0.000051,0.390684,-0.254104
0.000052,0.091637,0.321905
0.000053,0.238382,0.067382
0.000054,0.149623,0.268755
0.000055,0.442916,0.406280
0.000056,0.194334,0.210195
0.000057,0.226641,0.107359
0.000058,0.266548,0.227027
0.000059,0.293036,0.668326
0.000060,0.294961,0.311511
0.000061,0.253779,0.418084
0.000062,0.542353,0.377718
0.000063,0.323435,0.335371
0.000064,0.053496,0.330556
0.000065,0.312761,0.187446
0.000066,0.563777,0.383767
0.000067,0.150318,0.033014
0.000068,0.110702,0.257789
0.000069,-0.340975,0.021151
0.000070,0.068284,-0.267813
0.000071,0.823073,0.228741
0.000072,-0.032533,0.072541
0.000073,0.003380,0.283961
0.000074,-0.301967,0.540150
0.000075,0.047055,0.275170
0.000076,0.521982,-0.036292
0.000077,0.095456,-0.277057
0.000078,0.205330,0.407821
0.000079,-0.081659,-0.222122
0.000080,-0.122426,-0.072630
0.000081,-0.134605,0.168910
0.000082,0.262400,0.330551
0.000083,-0.244440,0.330465
0.000084,0.060720,0.586000
0.000085,-0.131925,-0.128387
0.000086,0.476805,0.568643
0.000087,0.228494,0.137653
0.000088,-0.031322,-0.058063
0.000089,0.224030,0.030208
0.000090,-0.520251,0.315018
0.000091,-0.490582,0.168394
0.000092,0.867529,0.173769
0.000093,0.066117,0.164523
0.000094,0.163129,-0.266100
0.000095,-0.070447,0.272078
0.000096,0.534994,0.068804
0.000097,0.284819,0.768943
0.000098,0.128693,0.628036
0.000099,0.374825,0.122687
0.000100,0.673725,0.728782
0.000101,0.087631,0.672817
0.000102,0.227089,0.021915
0.000103,0.667983,0.420494
0.000104,0.057367,0.076133
0.000105,0.435660,0.265499
0.000106,0.476400,0.021877
0.000107,0.609982,0.232293
0.000108,1.049716,0.061586
0.000109,0.375497,0.327252
0.000110,0.075958,-0.183854
0.000111,0.069741,0.419066
0.000112,0.081584,0.167835
0.000113,-0.012136,0.241521
0.000114,0.126944,0.171901
0.000115,0.363642,0.175534
0.000116,-0.027010,0.226869
0.000117,0.173811,0.209748
0.000118,0.522544,0.270157
0.000119,0.174473,0.224525
0.000120,-0.432889,0.269781
0.000121,0.379853,0.883941
0.000122,0.459705,0.678360
0.000123,0.161937,0.684562
0.000124,0.005266,0.165017
0.000125,0.953685,0.422619
0.000126,0.414482,0.384938
0.000127,-0.073321,0.682780
